approach,scenario,run,state,state_name,action,action_name,qvalue
rl1,cenario1_tempo_fixo/310s_10percent,1,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,1,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,1,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,1.01749
rl1,cenario1_tempo_fixo/310s_10percent,1,1,SIMILARITY_HIGH,1,ALLOCATE,12.2479
rl1,cenario1_tempo_fixo/310s_10percent,2,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,2,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,2,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,1.01749
rl1,cenario1_tempo_fixo/310s_10percent,2,1,SIMILARITY_HIGH,1,ALLOCATE,28.9447
rl1,cenario1_tempo_fixo/310s_10percent,3,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,3,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,3,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,4.07904
rl1,cenario1_tempo_fixo/310s_10percent,3,1,SIMILARITY_HIGH,1,ALLOCATE,42.4645
rl1,cenario1_tempo_fixo/310s_10percent,4,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,4,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,4,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,7.89307
rl1,cenario1_tempo_fixo/310s_10percent,4,1,SIMILARITY_HIGH,1,ALLOCATE,59.5268
rl1,cenario1_tempo_fixo/310s_10percent,5,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,5,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,5,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,7.89307
rl1,cenario1_tempo_fixo/310s_10percent,5,1,SIMILARITY_HIGH,1,ALLOCATE,62.6536
rl1,cenario1_tempo_fixo/310s_10percent,6,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,6,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,6,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,7.89307
rl1,cenario1_tempo_fixo/310s_10percent,6,1,SIMILARITY_HIGH,1,ALLOCATE,69.4541
rl1,cenario1_tempo_fixo/310s_10percent,7,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,7,0,SIMILARITY_MEDIUM,1,ALLOCATE,0.0
rl1,cenario1_tempo_fixo/310s_10percent,7,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,7.89307
