approach,scenario,run,total_clusters,clusters_apt,clusters_idle,orphan_total,orphan_percentage
rl1,cenario1_tempo_fixo/310s_10percent,1,21,16,5,17,8.5
rl1,cenario1_tempo_fixo/310s_10percent,2,19,11,8,21,10.5
rl1,cenario1_tempo_fixo/310s_10percent,3,19,10,9,22,11.0
rl1,cenario1_tempo_fixo/310s_10percent,4,15,11,4,36,18.0
rl1,cenario1_tempo_fixo/310s_10percent,5,18,12,6,8,4.0
rl1,cenario1_tempo_fixo/310s_10percent,6,21,12,9,20,10.0
rl1,cenario1_tempo_fixo/310s_10percent,7,21,15,6,11,5.5
rl1,cenario1_tempo_fixo/310s_10percent,8,17,14,3,21,10.5
rl1,cenario1_tempo_fixo/310s_10percent,9,17,12,5,32,16.0
rl1,cenario1_tempo_fixo/310s_10percent,10,19,13,6,12,6.0
rl1,cenario1_tempo_fixo/310s_10percent,11,25,12,13,23,11.5
rl1,cenario1_tempo_fixo/310s_10percent,12,20,14,6,24,12.0
rl1,cenario1_tempo_fixo/310s_10percent,13,19,12,7,22,11.0
rl1,cenario1_tempo_fixo/310s_10percent,14,15,9,6,19,9.5
rl1,cenario1_tempo_fixo/310s_10percent,15,20,12,8,8,4.0
rl1,cenario1_tempo_fixo/310s_10percent,16,19,13,6,18,9.0
rl1,cenario1_tempo_fixo/310s_10percent,17,22,12,10,16,8.0
rl1,cenario1_tempo_fixo/310s_10percent,18,21,14,7,10,5.0
rl1,cenario1_tempo_fixo/310s_10percent,19,22,11,11,5,2.5
rl1,cenario1_tempo_fixo/310s_10percent,20,22,14,8,28,14.0
rl1,cenario1_tempo_fixo/310s_10percent,21,18,14,4,30,15.0
rl1,cenario1_tempo_fixo/310s_10percent,22,24,16,8,24,12.0
rl1,cenario1_tempo_fixo/310s_10percent,23,16,12,4,12,6.0
rl1,cenario1_tempo_fixo/310s_10percent,24,17,9,8,30,15.0
rl1,cenario1_tempo_fixo/310s_10percent,25,16,13,3,37,18.5
rl1,cenario1_tempo_fixo/310s_10percent,26,16,13,3,9,4.5
rl1,cenario1_tempo_fixo/310s_10percent,27,15,12,3,15,7.5
rl1,cenario1_tempo_fixo/310s_10percent,28,20,11,9,24,12.0
rl1,cenario1_tempo_fixo/310s_10percent,29,14,10,4,25,12.5
rl1,cenario1_tempo_fixo/310s_10percent,30,20,17,3,27,13.5
rl1,cenario1_tempo_fixo/310s_10percent,31,19,12,7,18,9.0
