approach,scenario,run,tasks_dispatched,tasks_accepted,total_acceptances,tasks_quorum_ok,tasks_quorum_fail,task_success_rate,avg_accept_latency_s,median_accept_latency_s
rl1,cenario1_tempo_fixo/310s_10percent,1,13,12,50,11,2,0.8462,0.0108,0.01
rl1,cenario1_tempo_fixo/310s_10percent,2,14,12,45,11,3,0.7857,0.0305,0.0345
rl1,cenario1_tempo_fixo/310s_10percent,3,12,12,33,11,1,0.9167,0.0303,0.0265
rl1,cenario1_tempo_fixo/310s_10percent,4,27,12,46,8,18,0.2963,0.0267,0.028
rl1,cenario1_tempo_fixo/310s_10percent,5,28,12,59,8,20,0.2857,0.0553,0.028
rl1,cenario1_tempo_fixo/310s_10percent,6,11,11,34,11,0,1.0,0.0243,0.024
rl1,cenario1_tempo_fixo/310s_10percent,7,27,12,38,8,18,0.2963,0.0377,0.0365
rl1,cenario1_tempo_fixo/310s_10percent,8,14,12,48,11,3,0.7857,0.0243,0.0195
rl1,cenario1_tempo_fixo/310s_10percent,9,16,12,37,10,5,0.625,0.02,0.019
rl1,cenario1_tempo_fixo/310s_10percent,10,16,12,37,10,6,0.625,0.0452,0.049
rl1,cenario1_tempo_fixo/310s_10percent,11,27,12,57,8,18,0.2963,0.0269,0.019
rl1,cenario1_tempo_fixo/310s_10percent,12,12,12,55,11,1,0.9167,0.0126,0.0115
rl1,cenario1_tempo_fixo/310s_10percent,13,19,12,36,10,9,0.5263,0.0456,0.055
rl1,cenario1_tempo_fixo/310s_10percent,14,37,12,50,6,30,0.1622,0.0215,0.026
rl1,cenario1_tempo_fixo/310s_10percent,15,16,12,53,10,5,0.625,0.0264,0.0195
rl1,cenario1_tempo_fixo/310s_10percent,16,21,12,53,9,11,0.4286,0.0184,0.0095
rl1,cenario1_tempo_fixo/310s_10percent,17,21,12,50,9,11,0.4286,0.0311,0.033
rl1,cenario1_tempo_fixo/310s_10percent,18,21,12,45,9,11,0.4286,0.0413,0.037
rl1,cenario1_tempo_fixo/310s_10percent,19,16,12,43,10,5,0.625,0.0327,0.028
rl1,cenario1_tempo_fixo/310s_10percent,20,11,11,50,11,0,1.0,0.0181,0.018
rl1,cenario1_tempo_fixo/310s_10percent,21,12,12,44,11,1,0.9167,0.0352,0.0305
rl1,cenario1_tempo_fixo/310s_10percent,22,21,12,47,9,11,0.4286,0.0314,0.026
rl1,cenario1_tempo_fixo/310s_10percent,23,12,12,47,11,1,0.9167,0.0193,0.014
rl1,cenario1_tempo_fixo/310s_10percent,24,27,12,41,8,18,0.2963,0.0321,0.036
rl1,cenario1_tempo_fixo/310s_10percent,25,12,12,41,11,1,0.9167,0.0169,0.0165
