approach,scenario,n_runs,clusters_mean,clusters_ci95,clusters_apt_mean,clusters_apt_ci95,orphans_mean,orphans_ci95,tasks_dispatched_mean,tasks_dispatched_ci95,tasks_success_rate_mean,tasks_success_rate_ci95,accept_latency_mean,accept_latency_ci95,realloc_success_mean,realloc_success_ci95,realloc_rate_mean,realloc_rate_median,realloc_rate_ci95,new_clusters_mean,new_clusters_ci95,connectivity_index_mean,connectivity_index_ci95
rl1,cenario1_tempo_fixo/310s_10percent,35,19.09,0.95,12.6,0.78,20.2,2.89,17.63,2.22,0.6442,0.0879,0.0291,0.0043,19.0,2.67,0.9438,0.9583,0.0201,0.0,0.0,0.9438,0.0201
rl1,cenario1_tempo_fixo/310s_20percent,35,19.43,0.68,12.06,0.92,26.37,3.59,16.2,2.28,0.7345,0.0972,0.0427,0.0293,25.14,3.46,0.9537,0.9545,0.013,0.0,0.0,0.9537,0.013
rl1,cenario1_tempo_fixo/310s_30percent,35,19.83,1.05,12.77,1.27,43.91,5.35,21.26,3.31,0.5538,0.1054,0.0262,0.0038,41.71,5.19,0.9476,0.9643,0.0162,0.0,0.0,0.9476,0.0162
rl1,cenario2_tempo_aleatorio/180-600s_10percent,35,20.11,1.07,13.0,0.98,20.34,2.81,17.23,2.44,0.6858,0.0963,0.0262,0.0039,19.23,2.67,0.945,0.9333,0.0156,0.0,0.0,0.945,0.0156
rl1,cenario2_tempo_aleatorio/180-600s_20percent,35,19.91,1.11,11.66,1.09,28.6,4.51,18.63,2.58,0.6235,0.0975,0.0276,0.0043,27.09,4.28,0.9453,0.9375,0.019,0.0,0.0,0.9453,0.019
rl1,cenario2_tempo_aleatorio/180-600s_30percent,35,19.71,0.91,13.31,1.02,42.4,5.65,18.17,2.48,0.6397,0.1005,0.0397,0.0339,40.0,5.36,0.9391,0.9535,0.0151,0.0,0.0,0.9391,0.0151
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,35,20.2,0.96,12.8,1.04,30.4,4.96,16.51,2.46,0.7042,0.0902,0.0392,0.025,29.14,4.76,0.9618,0.96,0.0116,0.0,0.0,0.9618,0.0116
rl2,cenario1_tempo_fixo/310s_10percent,35,19.34,0.82,13.26,0.88,16.77,3.17,15.14,1.5,0.7403,0.0775,0.0256,0.0034,15.89,2.99,0.9475,0.9667,0.0239,1.0,0.0,0.9475,0.0239
rl2,cenario1_tempo_fixo/310s_20percent,35,20.34,0.75,14.03,0.84,28.69,4.48,15.26,1.89,0.762,0.092,0.0427,0.0293,27.09,4.29,0.9429,0.9444,0.0138,1.31,0.16,0.9429,0.0138
rl2,cenario1_tempo_fixo/310s_30percent,35,20.57,1.11,15.77,1.13,40.2,4.48,13.2,1.14,0.8511,0.0644,0.0431,0.0341,38.03,4.26,0.9452,0.9483,0.0113,1.91,0.21,0.9452,0.0113
rl2,cenario2_tempo_aleatorio/180-600s_10percent,35,19.37,0.96,14.0,1.02,19.77,2.94,15.11,1.68,0.7547,0.0836,0.0234,0.0039,18.77,2.85,0.9243,0.96,0.0574,0.97,0.06,0.9243,0.0574
rl2,cenario2_tempo_aleatorio/180-600s_20percent,35,19.26,0.89,14.14,1.19,35.66,5.25,14.43,1.52,0.7884,0.0782,0.0373,0.0251,34.2,5.03,0.9599,0.9667,0.0136,1.54,0.17,0.9599,0.0136
rl2,cenario2_tempo_aleatorio/180-600s_30percent,35,19.89,1.0,14.91,0.91,45.29,5.98,15.31,1.77,0.7511,0.0856,0.0263,0.003,43.23,5.64,0.9568,0.9565,0.011,2.11,0.23,0.9568,0.011
rl2,cenario3_tudo_aleatorio/180-600s_10-30percent,35,19.0,1.13,14.11,1.22,33.4,5.74,14.91,1.7,0.7683,0.0848,0.0368,0.0241,31.74,5.46,0.9529,0.9538,0.0124,1.51,0.23,0.9529,0.0124
rl3,cenario1_tempo_fixo/310s_10percent,35,19.97,0.98,13.94,1.18,18.89,2.77,14.66,1.3,0.7592,0.0703,0.0272,0.0037,18.31,2.74,0.9665,1.0,0.0161,0.91,0.1,0.9665,0.0161
rl3,cenario1_tempo_fixo/310s_20percent,35,20.03,1.1,14.29,0.94,28.31,4.66,14.23,1.14,0.7778,0.0647,0.0285,0.0044,26.89,4.61,0.9405,0.9615,0.0193,1.17,0.2,0.9405,0.0193
rl3,cenario1_tempo_fixo/310s_30percent,35,19.94,1.11,14.51,1.07,41.26,3.95,14.77,1.55,0.7695,0.0779,0.0313,0.0074,39.66,3.8,0.961,0.9737,0.0126,1.66,0.19,0.961,0.0126
rl3,cenario2_tempo_aleatorio/180-600s_10percent,35,19.49,0.91,13.43,1.03,20.71,2.97,15.03,1.91,0.7665,0.0842,0.0427,0.029,19.83,2.92,0.9498,0.9655,0.022,1.0,0.0,0.9498,0.022
rl3,cenario2_tempo_aleatorio/180-600s_20percent,35,19.46,1.16,13.31,0.98,25.43,4.96,15.66,2.1,0.7374,0.0869,0.0236,0.0038,24.06,4.69,0.9469,0.9512,0.0167,0.2,0.14,0.9469,0.0167
