rodada,num_clusters,tarefas_despachadas,tarefas_aceitas,media_latencia_aceite
1,20,11,11,1.0125
2,24,11,11,3.0964
3,16,11,11,1.502
4,16,11,11,1.0487
5,18,11,11,2.4261
6,20,11,11,1.1541
7,21,11,11,1.5142
8,21,11,11,2.1317
9,17,11,11,1.4186
10,18,11,11,1.0295
11,18,11,11,1.9107
12,20,11,11,3.4463
13,24,11,11,2.1115
14,21,11,11,3.7972
15,18,11,11,0.5583
16,25,11,11,2.1185
17,25,11,11,4.1261
18,19,11,11,2.1951
19,17,11,11,1.4435
20,23,11,11,3.2858
21,23,11,11,1.0141
22,24,11,11,2.1786
23,19,11,11,0.5405
24,17,11,11,1.524
25,21,11,11,2.4195
26,23,11,11,1.1273
27,19,11,11,1.4283
28,21,11,11,0.5106
29,20,11,11,2.1822
30,25,11,11,2.2745
31,23,11,11,1.9165
32,23,11,11,2.0991
33,19,11,11,0.9932
34,22,11,11,1.6465
35,17,11,11,2.1902
