rodada,total_clusters,clusters_aptos,clusters_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media
1,23,14,9,12,9,1.8063
2,22,12,10,12,11,0.8156
3,20,12,8,12,11,1.4833
4,20,17,3,11,11,2.9272
5,19,8,11,12,7,0.2535
6,18,13,5,11,11,2.2824
7,20,11,9,12,11,0.5864
8,14,11,3,12,8,0.5641
9,28,19,9,12,11,1.8486
10,21,12,9,12,11,1.2233
11,15,11,4,12,9,0.7844
12,28,23,5,11,11,1.4922
13,19,11,8,12,10,0.6267
14,18,13,5,12,8,1.2045
15,22,11,11,12,10,0.7587
16,18,12,6,11,11,1.8846
17,23,14,9,11,11,0.8434
18,20,12,8,12,10,1.0785
19,22,16,6,12,10,1.8303
20,19,11,8,12,10,1.2673
21,21,10,11,12,10,1.2814
22,18,8,10,12,11,0.619
23,18,13,5,12,10,0.661
24,21,12,9,12,10,1.5534
25,19,11,8,12,10,1.6575
26,22,18,4,11,11,1.6766
27,20,10,10,12,10,1.5268
28,22,13,9,11,11,1.2306
29,19,8,11,12,10,0.9167
30,14,10,4,12,8,0.6267
31,16,12,4,12,10,0.5298
32,20,15,5,12,11,0.1972
33,23,13,10,12,10,1.483
34,28,20,8,11,11,1.3193
35,16,11,5,12,11,0.7234
