rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha,tempo_recuperacao,realocacoes_sucesso,realocacoes_falha,taxa_realocacao
1,21,16,5,12,11,0.788,1,17,310.0,10.0,1.0,13,4,76.47
2,19,11,8,12,11,0.7793,1,21,310.0,10.0,1.0,21,0,100.0
3,19,10,9,12,11,0.5254,1,22,310.0,10.0,1.0,21,1,95.45
4,15,10,5,12,8,0.743,1,36,310.0,10.0,1.0,35,1,97.22
5,18,12,6,12,8,0.2875,1,8,310.0,10.0,1.0,8,0,100.0
6,21,11,10,11,11,0.9319,1,20,310.0,10.0,1.0,20,0,100.0
7,21,13,8,12,8,0.6768,1,11,310.0,10.0,1.0,11,0,100.0
8,17,12,5,12,11,0.3623,1,21,310.0,10.0,1.0,20,1,95.24
9,17,12,5,12,10,0.6238,1,32,310.0,10.0,1.0,29,3,90.62
10,19,12,7,12,10,0.3819,1,12,310.0,10.0,1.0,11,1,91.67
11,25,12,13,12,8,0.814,1,23,310.0,10.0,1.0,22,1,95.65
12,20,14,6,12,11,0.7648,1,24,310.0,10.0,1.0,23,1,95.83
13,19,12,7,12,10,0.3831,1,22,310.0,10.0,1.0,20,2,90.91
14,15,9,6,12,6,0.458,1,19,310.0,10.0,1.0,19,0,100.0
15,20,12,8,12,10,0.3931,1,8,310.0,10.0,1.0,8,0,100.0
16,19,12,7,12,9,1.1498,1,18,310.0,10.0,1.0,18,0,100.0
17,22,12,10,12,9,0.9357,1,16,310.0,10.0,1.0,16,0,100.0
18,21,13,8,12,9,1.0686,1,10,310.0,10.0,1.0,9,1,90.0
19,22,11,11,12,10,0.1972,1,5,310.0,10.0,1.0,5,0,100.0
20,22,12,10,11,11,1.4671,1,28,310.0,10.0,1.0,24,4,85.71
21,18,13,5,12,11,0.7783,1,30,310.0,10.0,1.0,29,1,96.67
22,24,15,9,12,9,0.7526,1,24,310.0,10.0,1.0,23,1,95.83
23,16,12,4,12,11,1.0804,1,12,310.0,10.0,1.0,11,1,91.67
24,17,9,8,12,8,0.4221,1,30,310.0,10.0,1.0,26,4,86.67
25,16,13,3,12,11,0.6563,1,37,310.0,10.0,1.0,31,6,83.78
26,16,12,4,12,8,0.6628,1,9,310.0,10.0,1.0,8,1,88.89
27,15,12,3,12,11,0.2387,1,15,310.0,10.0,1.0,15,0,100.0
28,20,11,9,12,10,0.4604,1,24,310.0,10.0,1.0,23,1,95.83
29,14,9,5,12,10,0.8142,1,25,310.0,10.0,1.0,25,0,100.0
30,20,16,4,12,10,1.3478,1,27,310.0,10.0,1.0,27,0,100.0
31,19,12,7,12,10,1.7623,1,18,310.0,10.0,1.0,16,2,88.89
32,24,20,4,12,10,1.7865,1,20,310.0,10.0,1.0,19,1,95.0
33,18,10,8,12,11,0.5815,1,7,310.0,10.0,1.0,6,1,85.71
34,17,12,5,11,11,0.4563,1,31,310.0,10.0,1.0,29,2,93.55
35,22,11,11,12,11,0.6999,1,25,310.0,10.0,1.0,24,1,96.0
