rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha,tempo_recuperacao,realocacoes_sucesso,realocacoes_falha,taxa_realocacao
1,20,11,9,12,10,1.1371,2,49,284.754,30.0,1.0,48,1,97.96
2,26,15,11,12,10,0.9078,2,35,454.189,30.0,1.0,34,1,97.14
3,24,19,5,12,9,1.5208,3,33,457.961,30.0,1.0,32,1,96.97
4,17,13,4,12,7,0.4305,2,57,434.291,30.0,1.0,52,5,91.23
5,19,10,9,11,11,0.909,3,61,407.082,30.0,1.0,59,2,96.72
6,20,13,7,12,10,0.2078,2,47,251.424,30.0,1.0,43,4,91.49
7,17,10,7,11,11,1.1673,2,50,553.131,30.0,1.0,49,1,98.0
8,15,10,5,12,7,0.1728,2,33,410.067,30.0,1.0,32,1,96.97
9,22,17,5,12,10,1.5754,1,22,269.627,30.0,1.0,20,2,90.91
10,19,8,11,12,11,0.2264,2,31,530.766,30.0,1.0,30,1,96.77
11,25,14,11,12,11,2.2807,2,43,385.524,30.0,1.0,41,2,95.35
12,21,14,7,12,8,0.6825,3,50,512.131,30.0,1.0,50,0,100.0
13,23,16,7,12,9,0.3637,1,12,331.35,30.0,1.0,10,2,83.33
14,18,12,6,12,10,0.4118,2,55,456.92,30.0,1.0,54,1,98.18
15,19,14,5,12,9,0.5222,1,26,237.457,30.0,1.0,25,1,96.15
16,20,17,3,11,11,1.3833,3,50,582.233,30.0,1.0,46,4,92.0
17,24,21,3,12,8,1.6649,1,25,190.504,30.0,1.0,24,1,96.0
18,17,12,5,12,9,0.8342,2,43,293.978,30.0,1.0,41,2,95.35
19,19,11,8,12,7,0.2527,2,44,349.608,30.0,1.0,42,2,95.45
20,20,9,11,12,11,0.9263,3,40,376.716,30.0,1.0,37,3,92.5
21,18,11,7,12,11,1.4254,1,29,269.199,30.0,1.0,27,2,93.1
22,23,14,9,11,11,0.8181,3,62,489.477,30.0,1.0,58,4,93.55
23,18,9,9,12,10,0.2419,2,67,541.29,30.0,1.0,62,5,92.54
24,19,14,5,12,8,0.3001,3,65,585.855,30.0,1.0,60,5,92.31
25,23,16,7,12,10,1.1546,3,72,466.751,30.0,1.0,65,7,90.28
26,17,10,7,12,9,0.3666,2,46,469.05,30.0,1.0,44,2,95.65
27,22,14,8,11,11,0.9863,3,56,584.219,30.0,1.0,53,3,94.64
28,17,14,3,11,11,0.7359,2,31,308.433,30.0,1.0,30,1,96.77
29,19,12,7,12,11,0.5538,1,19,325.568,30.0,1.0,15,4,78.95
30,18,13,5,11,11,0.5555,2,32,516.746,30.0,1.0,32,0,100.0
31,18,14,4,12,8,0.7657,2,60,392.826,30.0,1.0,58,2,96.67
32,17,12,5,11,11,0.6914,2,32,450.572,30.0,1.0,28,4,87.5
33,19,11,8,11,11,0.4936,1,18,335.138,30.0,1.0,17,1,94.44
34,17,11,6,12,9,0.0619,2,18,193.239,30.0,1.0,16,2,88.89
35,20,10,10,12,7,1.1389,3,71,584.88,30.0,1.0,66,5,92.96
