rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha,tempo_recuperacao,realocacoes_sucesso,realocacoes_falha,taxa_realocacao
1,21,9,12,12,8,0.9479,1,13,342.837,23.7135,1.0,13,0,100.0
2,23,16,7,11,11,1.2445,2,38,489.745,25.1692,1.0,35,3,92.11
3,17,12,5,12,10,1.2806,1,27,413.222,28.2531,1.0,27,0,100.0
4,16,5,11,12,6,0.0487,1,24,435.385,22.0077,1.0,23,1,95.83
5,22,11,11,12,9,0.1947,1,17,553.966,12.2546,1.0,16,1,94.12
6,22,10,12,12,10,0.3029,1,22,188.24,15.6879,1.0,21,1,95.45
7,17,8,9,12,5,0.2993,2,38,340.154,25.249,1.0,36,2,94.74
8,22,14,8,12,11,1.4962,1,8,587.737,11.4759,1.0,8,0,100.0
9,21,14,7,12,11,1.051,1,16,235.701,22.4415,1.0,14,2,87.5
10,17,10,7,12,9,0.1904,2,43,427.394,25.3613,1.0,41,2,95.35
11,24,17,7,12,9,1.3301,2,45,281.615,27.3136,1.0,44,1,97.78
12,22,14,8,12,11,1.4506,1,30,355.779,29.9649,1.0,27,3,90.0
13,19,11,8,12,11,0.8389,1,23,211.703,19.5681,1.0,22,1,95.65
14,23,16,7,12,11,1.3633,1,31,384.532,18.2903,1.0,29,2,93.55
15,20,12,8,12,10,1.4059,2,9,275.71,29.1823,1.0,9,0,100.0
16,19,14,5,12,11,0.6316,2,56,552.084,18.103,1.0,53,3,94.64
17,27,15,12,12,9,1.0098,2,21,301.649,23.9116,1.0,21,0,100.0
18,19,15,4,11,11,0.8497,2,32,293.258,28.2495,1.0,29,3,90.62
19,26,13,13,11,11,0.9281,2,29,576.655,26.2369,1.0,28,1,96.55
20,17,9,8,12,10,0.9468,2,55,561.645,12.5962,1.0,55,0,100.0
21,18,14,4,12,10,1.5894,1,17,200.852,11.401,1.0,17,0,100.0
22,22,14,8,12,10,1.0719,2,67,450.545,29.4285,1.0,65,2,97.01
23,21,11,10,12,11,0.7753,1,25,575.525,11.865,1.0,24,1,96.0
24,19,13,6,12,10,0.9533,2,36,281.694,21.5734,1.0,34,2,94.44
25,19,11,8,12,10,0.5227,1,18,245.389,12.787,1.0,17,1,94.44
26,18,13,5,12,9,0.8494,2,39,406.074,20.7655,1.0,37,2,94.87
27,23,11,12,11,11,0.4814,1,11,494.339,13.816,1.0,11,0,100.0
28,23,13,10,12,9,1.7257,2,34,530.315,27.3776,1.0,33,1,97.06
29,19,11,8,11,11,1.1509,2,51,316.961,28.8743,1.0,46,5,90.2
30,16,11,5,11,11,0.1717,2,35,523.394,12.5292,1.0,34,1,97.14
31,19,7,12,11,11,0.452,1,28,536.677,13.2492,1.0,27,1,96.43
32,18,13,5,12,10,1.0369,2,43,519.821,23.6302,1.0,43,0,100.0
33,21,15,6,12,11,1.5288,2,36,449.969,21.0904,1.0,36,0,100.0
34,16,11,5,12,11,1.1872,1,8,338.349,10.3676,1.0,8,0,100.0
35,21,16,5,12,10,1.463,2,39,552.84,21.1034,1.0,37,2,94.87
