Rodada,Líderes,TarefasDispachadas,TarefasAceitas,LíderesFalharam,NósÓrfãos
1,27,11,52,3,52
2,20,11,51,2,38
3,14,11,26,2,50
4,16,11,33,1,26
5,17,12,35,2,29
6,24,11,58,3,51
7,19,11,39,2,34
8,18,11,42,1,27
9,22,12,32,2,34
10,23,11,57,2,36
11,20,11,32,1,16
12,18,11,30,2,34
13,19,11,28,2,50
14,21,11,56,2,56
15,20,11,32,2,44
16,22,11,41,3,44
17,19,11,30,2,51
18,24,11,37,2,52
19,22,11,42,1,16
20,21,11,37,3,50
21,21,12,31,1,26
22,23,11,45,1,24
23,17,21,29,2,39
24,21,11,38,2,23
25,18,11,54,2,38
26,20,11,36,2,14
27,19,11,26,1,22
28,18,11,43,2,46
29,17,12,33,2,37
30,20,11,40,2,38
31,18,11,41,2,41
32,16,11,31,1,20
33,16,11,41,1,8
34,16,11,38,3,48
35,16,11,27,2,24
