rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,media_latencia_aceite,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha
1,18,9,9,12,10,75.10475000000001,2,37,305.772,20.165
2,21,10,11,12,6,204.17245454545454,2,25,191.443,26.561
3,17,10,7,12,10,47.80316666666667,0,0,135.712,16.5444
4,21,14,7,12,11,1.9307499999999962,3,57,455.021,23.0028
5,21,14,7,12,10,70.03416666666668,2,49,408.496,19.7923
6,15,10,5,12,10,46.38575,2,52,453.199,22.4703
7,15,9,6,12,11,2.7320833333333425,2,33,162.416,26.7722
8,23,18,5,12,11,1.3784166666666688,2,39,592.991,11.1463
9,18,13,5,11,11,3.143909090909078,1,19,275.168,16.9112
10,20,14,6,12,8,2.416222222222217,3,58,502.971,20.1797
11,24,13,11,12,9,127.01100000000001,2,33,440.062,23.8665
12,18,13,5,12,10,126.77049999999998,2,62,424.38,19.6595
13,21,13,8,12,10,41.67883333333334,2,52,236.634,18.3465
14,19,12,7,11,11,1.0414545454545445,2,29,430.592,20.7269
15,19,10,9,12,10,74.56716666666667,2,43,478.922,28.476
16,17,9,8,12,6,260.34372727272734,1,8,182.725,18.436
17,17,11,6,12,8,69.11527272727272,1,16,391.155,12.6694
18,22,14,8,12,11,2.3437499999999907,3,63,563.727,16.24
19,19,12,7,12,6,227.99691666666664,1,18,299.605,15.4158
20,16,10,6,12,6,147.434,1,26,157.373,24.4445
21,19,13,6,12,10,92.74441666666665,0,0,130.019,10.815
22,18,12,6,12,8,173.83991666666665,2,46,360.058,13.8459
23,20,13,7,12,10,11.000333333333343,3,67,547.818,24.5185
24,19,14,5,12,11,1.5257500000000068,3,54,452.892,25.2231
25,25,19,6,11,11,1.7734545454545307,3,52,332.385,23.5676
26,16,9,7,12,11,32.04508333333332,3,68,342.177,26.1082
27,17,12,5,11,11,1.0101818181818152,2,33,554.297,16.2681
28,17,12,5,12,9,49.34075000000001,2,22,491.65,17.4805
29,18,11,7,11,11,1.5889999999999935,1,16,243.719,19.7605
30,16,10,6,11,11,0.7797272727272752,2,35,254.291,25.137
31,17,9,8,11,11,1.4601818181818245,0,0,136.48,16.8246
32,23,15,8,11,11,3.460818181818168,3,56,449.048,17.2503
33,19,8,11,12,7,89.5581,1,19,182.327,26.2835
34,19,12,7,12,10,35.14025,3,70,537.851,23.8393
35,22,13,9,12,11,16.53275,0,0,132.4,22.1338
