rodada,total_agrupamentos,agrupamentos_aptos,agrupamentos_ociosos,tarefas_despachadas,tarefas_executadas,media_latencia_aceite,lideres_falharam,nos_orfaos,tempo_falha,porcentagem_falha
1,17,12,5,12,10,71.24574999999999,3,52,391.285,30.0
2,17,13,4,12,9,113.16108333333334,1,30,199.694,30.0
3,18,11,7,12,9,26.44216666666667,2,47,258.682,30.0
4,20,13,7,12,8,89.43433333333333,3,67,366.072,30.0
5,17,8,9,12,8,90.22708333333334,2,24,412.811,30.0
6,22,14,8,12,11,1.893499999999996,4,62,388.015,30.0
7,17,14,3,12,8,70.56818181818181,3,55,399.108,30.0
8,19,12,7,12,9,97.39383333333335,3,62,294.871,30.0
9,25,13,12,12,9,152.25741666666667,4,67,515.137,30.0
10,18,8,10,12,10,72.94816666666667,3,47,550.79,30.0
11,23,16,7,12,10,23.604583333333334,4,72,328.069,30.0
12,23,12,11,12,11,2.3383333333333503,4,63,486.067,30.0
13,22,13,9,12,10,16.344250000000006,4,87,475.852,30.0
14,20,11,9,12,9,107.73883333333333,3,67,274.183,30.0
15,21,10,11,12,11,3.3130833333333336,3,62,438.703,30.0
16,17,8,9,12,8,123.80554545454548,2,45,509.808,30.0
17,17,9,8,12,8,80.06218181818181,2,29,343.362,30.0
18,27,16,11,11,11,2.6889999999999956,3,55,300.185,30.0
19,18,11,7,12,10,85.64075000000003,3,58,572.194,30.0
20,21,14,7,12,10,57.93425000000001,3,63,312.051,30.0
21,17,9,8,12,9,93.46299999999998,2,50,277.085,30.0
22,18,10,8,12,7,174.98018181818182,1,16,204.144,30.0
23,17,10,7,12,9,125.73041666666666,3,57,549.165,30.0
24,16,10,6,12,9,102.74525,2,49,498.482,30.0
25,19,9,10,12,9,0.5569999999999854,3,53,514.314,30.0
26,20,13,7,11,11,3.2937272727272644,2,22,194.783,30.0
27,13,9,4,11,11,1.4404545454545479,1,10,234.12,30.0
28,23,9,14,12,5,125.71472727272727,3,44,442.327,30.0
29,18,10,8,12,11,1.5079166666666712,2,50,358.67,30.0
30,18,13,5,12,8,148.83108333333334,4,57,553.844,30.0
31,26,20,6,12,11,2.7281666666666715,5,82,358.163,30.0
32,23,14,9,12,10,52.30050000000001,2,40,399.017,30.0
33,22,14,8,12,9,79.35700000000001,2,33,227.71,30.0
34,22,17,5,12,11,1.0423333333333342,5,81,548.581,30.0
35,15,9,6,12,9,137.3211666666667,3,42,540.773,30.0
