rodada,porcentagem_falha,total_clusters,clusters_aptos,clusters_ociosos,tarefas_despachadas,tarefas_executadas,latencia_aceite_media,lideres_falharam,nos_orfaos
1,10,20,8,12,12,9,0.0576,1,13
2,10,21,10,11,12,10,0.4031,1,14
3,10,17,12,5,12,10,1.2391,1,23
4,10,20,13,7,12,11,1.3993,1,24
5,10,25,14,11,12,11,2.0443,1,23
6,10,21,15,6,11,11,1.1574,1,12
7,10,24,14,10,12,11,0.3388,1,6
8,10,24,18,6,11,11,2.1195,2,15
9,10,25,18,7,11,11,1.3599,2,54
10,10,19,9,10,12,10,0.4412,1,12
11,10,19,10,9,12,8,0.3647,1,13
12,10,24,11,13,12,9,1.524,1,26
13,10,18,7,11,12,8,0.7154,1,8
14,10,16,11,5,11,11,0.6863,1,16
15,10,19,13,6,12,9,0.909,1,23
16,10,17,8,9,12,10,1.3369,1,9
17,10,28,21,7,12,8,2.0148,2,39
18,10,26,17,9,12,9,1.8752,2,59
19,10,25,15,10,12,9,1.4128,1,21
20,10,17,12,5,11,11,0.9245,1,8
21,10,14,10,4,12,11,0.1879,1,18
22,10,21,13,8,12,11,0.9823,1,18
23,10,17,11,6,12,10,0.5459,1,23
24,10,19,14,5,12,11,0.5971,1,11
25,10,21,13,8,12,9,1.1796,1,12
26,10,18,13,5,12,10,1.2041,1,23
27,10,22,10,12,12,8,1.0683,1,27
28,10,19,10,9,12,10,0.3567,1,27
29,10,23,14,9,12,10,1.2007,1,24
30,10,19,13,6,12,10,0.7752,1,16
31,10,22,15,7,11,11,1.4134,1,22
32,10,19,8,11,12,10,0.8646,1,21
33,10,17,11,6,12,9,0.3691,1,12
34,10,17,11,6,12,10,0.2176,1,26
35,10,18,12,6,12,10,0.7549,1,33
